104.19.52.196:443#🇨🇳 移动优选-01 | 香港/广州低延迟骨干 (CMCC)
104.17.220.222:443#🇨🇳 移动优选-02 | 香港/广州低延迟骨干 (CMCC)
172.67.68.127:443#🇨🇳 联通优选-01 | 圣何塞/AS4837直连骨干 (CUCC)
104.26.14.253:443#🇨🇳 联通优选-02 | 圣何塞/AS4837直连骨干 (CUCC)
104.18.33.8:443#🇨🇳 电信优选-01 | 洛杉矶/163直连骨干 (CTCC)
104.17.152.131:443#🇨🇳 电信优选-02 | 洛杉矶/163直连骨干 (CTCC)
91.124.121.33:8443#🇨🇭 瑞士-01 | 苏黎世 Hostkey B.V.
188.114.96.226:443#🇮🇹 意大利-01 | 米兰欧洲核心 (Cloudflare Europe)
188.114.97.3:443#🇮🇹 意大利-02 | 米兰欧洲核心 (Cloudflare Europe)
185.13.37.173:443#🇫🇷 法国-01 | Valenciennes Techcrea Solutions SAS
217.60.252.106:443#🇫🇷 法国-02 | Paris CGI GLOBAL LIMITED
138.124.93.139:443#🇩🇪 德国-01 | Frankfurt am Main Aeza International LTD
152.53.229.84:443#🇩🇪 德国-02 | Nuremberg netcup GmbH
82.196.13.153:443#🇳🇱 荷兰-01 | Amsterdam DigitalOcean, LLC
146.185.141.14:443#🇳🇱 荷兰-02 | Amsterdam DigitalOcean, LLC
134.209.185.10:443#🇬🇧 英国-01 | Slough DigitalOcean, LLC
45.152.64.50:8443#🇬🇧 英国-02 | 伦敦 Lucidacloud
176.124.202.130:2083#🇸🇪 瑞典-01 | Stockholm Aeza International LTD
70.34.244.250:53062#🇵🇱 波兰-01 | Warsaw The Constant Company, LLC
104.245.245.16:8443#🇵🇱 波兰-02 | Warsaw Tier.Net Technologies LLC
104.18.80.44:443#🇦🇺 澳大利亚-01 | 悉尼大洋洲专线 (Cloudflare Anycast)
104.16.70.35:443#🇦🇺 澳大利亚-02 | 悉尼大洋洲专线 (Cloudflare Anycast)
103.214.69.199:443#🇨🇦 加拿大-01 | 蒙特利尔 YottaSrc
38.49.212.71:8443#🇨🇦 加拿大-02 | 蒙特利尔 Rica Web Services
23.27.169.196:443#🇯🇵 日本-01 | Tokyo Ace Data Centers II
153.121.45.101:443#🇯🇵 日本-02 | Tokyo SAKURA Internet Inc.
14.52.210.173:12138#🇰🇷 韩国-01 | Gangnam-gu Korea Telecom
14.52.210.173:12312#🇰🇷 韩国-02 | Gangnam-gu Korea Telecom
13.33.170.205:443#🇺🇸 美国-01 | New York Amazon.com, Inc.
31.57.47.19:443#🇺🇸 美国-02 | Fremont CGI GLOBAL LIMITED
